meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,RANK,Rank_Order,fina_points,meet_city,country_code
European Championships 2022,46.86,13-08-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,1,1,1003,Rome,ITA
13th FINA World Championships 2009,46.91,30-07-2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10-01-1987,2,2,,Rome,ITA
French National Championships (50m),46.94,23-04-2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01-05-1983,3,3,,Montpellier,FRA
18th FINA World Championships 2019,46.96,25-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,4,4,996,Gwangju,KOR
European Championships 2022,46.98,12-08-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,5,5,995,Rome,ITA
Olympic Games Tokyo 2020,47.02,29-07-2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,6,6,992,Tokyo,JPN
Australian National Championships (50m),47.04,10-04-2016,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13-05-1994,7,7,991,Adelaide,AUS
Olympic Games Beijing 2008,47.05,13-08-2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30-08-1985,8,8,1032,Beijing,CHN
8th FINA World Junior Swimming Championships 2022,47.07,30-08-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,9,9,989,Lima,PER
Olympic Games Tokyo 2020,47.08,29-07-2021,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25-06-1998,10,10,989,Tokyo,JPN
18th FINA World Championships 2019,47.08,25-07-2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25-06-1998,10,11,989,Gwangju,KOR
13th FINA World Championships 2009,47.09,26-07-2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10-01-1987,12,12,,Rome,ITA
2012 EnergyAustralia Swimming,47.1,15-03-2012,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,13,13,987,Adelaide,AUS
Olympic Games Tokyo 2020,47.11,28-07-2021,Men 100 Freestyle LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,09-07-2000,14,14,987,Tokyo,JPN
13th FINA World Championships 2009,47.12,30-07-2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01-05-1983,15,15,,Rome,ITA
19th FINA World Championships Budapest 2022,47.13,21-06-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,16,16,986,Budapest,HUN
17th FINA World Championships 2017,47.17,27-07-2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,17,17,983,Budapest,HUN
European Championships 2022,47.2,12-08-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,18,18,981,Rome,ITA
Olympic Games Beijing 2008,47.2,13-08-2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01-05-1983,18,19,1023,Beijing,CHN
Olympic Games Beijing 2008,47.21,14-08-2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01-05-1983,20,20,1022,Beijing,CHN
Olympic Games Tokyo 2020,47.23,28-07-2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,21,21,979,Tokyo,JPN
Olympic Games Beijing 2008,47.24,11-08-2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30-08-1985,22,22,1020,Beijing,CHN
13th FINA World Championships 2009,47.25,30-07-2009,Men 100 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,08-04-1981,23,23,,Rome,ITA
Olympic Games Tokyo 2020,47.26,26-07-2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,24,24,977,Tokyo,JPN
17th FINA World Championships 2017,47.26,23-07-2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,24,25,977,Budapest,HUN
13th FINA World Championships 2009,47.27,30-07-2009,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,21-10-1983,26,26,,Rome,ITA
13th FINA World Championships 2009,47.27,29-07-2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01-05-1983,26,27,,Rome,ITA
European Junior Swimming Championships 2021,47.3,08-07-2021,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,28,28,975,Rome,ITA
Russian National Swimming Championships (50m),47.31,07-04-2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09-07-2000,29,29,974,Kazan,RUS
18th FINA World Championships 2019,47.32,24-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,30,30,974,Gwangju,KOR
Olympic Games Beijing 2008,47.32,14-08-2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30-08-1985,30,31,1015,Beijing,CHN
13th FINA World Championships 2009,47.33,30-07-2009,Men 100 Freestyle LCM Male,USA,United States of America,"WALTERS, David",M,27-09-1987,32,32,,Rome,ITA
18th FINA World Championships 2019,47.35,24-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,33,33,972,Gwangju,KOR
Hancock Prospecting Australian Swimming Trials 2019,47.35,12-06-2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25-06-1998,33,34,972,Brisbane,AUS
22nd Commonwealth Games 2022,47.36,31-07-2022,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25-06-1998,35,35,971,Birmingham,GBR
8th FINA World Junior Swimming Championships 2022,47.37,30-08-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,36,36,971,Lima,PER
European Championships 2021,47.37,19-05-2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09-07-2000,36,37,971,Budapest,HUN
13th FINA World Championships 2009,47.37,30-07-2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20-10-1981,36,38,,Rome,ITA
US Olympic Team Trials - Wave II,47.39,17-06-2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,39,39,969,Omaha,USA
Philipps 66 USA National Championships (50m),47.39,31-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,27-06-1995,39,40,969,Palo Alto,USA
13th FINA World Championships 2009,47.39,26-07-2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10-01-1987,39,41,,Rome,ITA
Philipps 66 USA National Championships (50m),47.43,31-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,27-06-1995,42,42,967,Palo Alto,USA
Russian National Championships (50m),47.43,09-04-2019,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21-07-1996,42,43,967,Moscow,RUS
Olympic Games Tokyo 2020,47.44,29-07-2021,Men 100 Freestyle LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,09-07-2000,44,44,966,Tokyo,JPN
European Championships 2021,47.45,19-05-2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02-10-1998,45,45,966,Budapest,HUN
Olympic Games Tokyo 2020,47.46,25-07-2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02-10-1998,46,46,965,Tokyo,JPN
European Championships 2022,47.47,13-08-2022,Men 100 Freestyle LCM Male,HUN,Hungary,"MILAK, Kristof",M,20-02-2000,47,47,965,Rome,ITA
Hancock Prospecting Australian National Championships (50m),47.48,08-04-2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25-06-1998,48,48,964,Adelaide,AUS
13th FINA World Championships 2009,47.48,29-07-2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10-01-1987,48,49,,Rome,ITA
14th FINA World Championships 2011,47.49,24-07-2011,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,50,50,963,Shanghai,CHN
European Championships 2008,47.5,22-03-2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01-05-1983,51,51,1003,Eindhoven,NED
22nd Commonwealth Games 2022,47.51,01-08-2022,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25-06-1998,52,52,962,Birmingham,GBR
Olympic Games Beijing 2008,47.51,11-08-2008,Men 100 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,30-06-1985,52,53,1003,Beijing,CHN
Olympic Games Tokyo 2020,47.52,28-07-2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02-10-1998,54,54,961,Tokyo,JPN
Olympic Games Tokyo 2020,47.52,26-07-2021,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24-04-1999,54,55,961,Tokyo,JPN
Olympic Games London 2012,47.52,01-08-2012,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07-12-1988,54,56,961,London,GBR
13th FINA World Championships 2009,47.52,26-07-2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20-10-1981,54,57,,Rome,ITA
European Championships 2021,47.53,18-05-2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02-10-1998,58,58,961,Budapest,HUN
European Championships 2021,47.53,18-05-2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09-07-2000,58,59,961,Budapest,HUN
2013 EnergyAustralia Swimming,47.53,26-04-2013,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,58,60,961,Adelaide,AUS
Olympic Games London 2012,47.53,01-08-2012,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,58,61,961,London,GBR
13th FINA World Championships 2009,47.53,29-07-2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20-10-1981,58,62,,Rome,ITA
European Junior Swimming Championships 2022,47.54,05-07-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,63,63,960,Otopeni,ROU
19th FINA World Championships Budapest 2022,47.54,21-06-2022,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24-04-1999,63,64,960,Budapest,HUN
19th FINA World Championships Budapest 2022,47.55,21-06-2022,Men 100 Freestyle LCM Male,CAN,Canada,"LIENDO EDWARDS, Joshua",M,20-08-2002,65,65,960,Budapest,HUN
Olympic Games Tokyo 2020,47.56,28-07-2021,Men 100 Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21-05-2003,66,66,959,Tokyo,JPN
European Junior Swimming Championships 2021,47.56,06-07-2021,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,66,67,959,Rome,ITA
Aquatic Super Series 2016,47.56,05-02-2016,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13-05-1994,66,68,959,Perth,AUS
Olympic Games Beijing 2008,47.56,11-08-2008,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,21-10-1983,66,69,1000,Beijing,CHN
Russian National  Championships (50m),47.57,30-10-2020,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,17-03-2002,70,70,958,Kazan,RUS
19th FINA World Championships Budapest 2022,47.58,22-06-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,71,71,958,Budapest,HUN
18th FINA World Championships 2019,47.58,24-07-2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25-06-1998,71,72,958,Gwangju,KOR
Olympic Games Rio 2016,47.58,10-08-2016,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25-06-1998,71,73,958,Rio de Janeiro,BRA
Hancock Prospecting Australian Swimming Trials 2021,47.59,15-06-2021,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25-06-1998,74,74,957,Adelaide,AUS
2014 BHP Billiton Aquatic Super Series,47.59,31-01-2014,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,74,75,957,Perth,AUS
13th FINA World Championships 2009,47.59,29-07-2009,Men 100 Freestyle LCM Male,USA,United States of America,"WALTERS, David",M,27-09-1987,74,76,,Rome,ITA
European Championships 2022,47.6,12-08-2022,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02-10-1998,77,77,957,Rome,ITA
19th FINA World Championships Budapest 2022,47.6,21-06-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,77,78,957,Budapest,HUN
Russian National Swimming Championships (50m),47.6,06-04-2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09-07-2000,77,79,957,Kazan,RUS
Brazilian National Championships (50m),47.6,10-05-2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10-01-1987,77,80,,Rio de Janeiro,BRA
European Championships 2008,47.6,21-03-2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01-05-1983,77,81,997,Eindhoven,NED
